Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Price,Revenue,Region,Order_Month
O10000,C0072,08-07-2023,Mouse,Accessories,1,1180,1180,North,2023-07
O10001,C0215,27-11-2023,Mouse,Accessories,2,516,1032,East,2023-11
O10002,C0131,30-05-2023,Printer,Office,1,1173,1173,North,2023-05
O10003,C0386,11-07-2023,Phone,Electronics,2,855,1710,West,2023-07
O10004,C0314,22-01-2023,Monitor,Electronics,1,509,509,North,2023-01
O10005,C0059,19-06-2023,Tablet,Electronics,1,524,524,West,2023-06
O10006,C0563,30-12-2023,Tablet,Electronics,3,239,717,East,2023-12
O10007,C0021,25-11-2023,Tablet,Electronics,1,696,696,East,2023-11
O10008,C0014,30-08-2023,Phone,Electronics,1,365,365,South,2023-08
O10009,C0340,02-04-2023,Laptop,Electronics,2,614,1228,East,2023-04
O10010,C0035,25-07-2023,Tablet,Electronics,3,558,1674,North,2023-07
O10011,C0390,23-02-2023,Tablet,Electronics,2,1075,2150,South,2023-02
O10012,C0402,06-08-2023,Tablet,Electronics,2,752,1504,West,2023-08
O10013,C0270,17-12-2023,Phone,Electronics,2,1045,2090,West,2023-12
O10014,C0296,01-08-2023,Mouse,Accessories,2,1066,2132,West,2023-08
O10015,C0053,07-10-2023,Monitor,Electronics,2,928,1856,South,2023-10
O10016,C0157,15-01-2023,Laptop,Electronics,1,1114,1114,North,2023-01
O10017,C0344,09-05-2023,Laptop,Electronics,1,570,570,West,2023-05
O10018,C0392,12-06-2023,Printer,Office,3,642,1926,East,2023-06
O10019,C0041,28-01-2023,Laptop,Electronics,3,280,840,East,2023-01
O10020,C0048,03-03-2023,Laptop,Electronics,2,1106,2212,West,2023-03
O10021,C0547,15-08-2023,Monitor,Electronics,3,733,2199,North,2023-08
O10022,C0005,06-08-2023,Mouse,Accessories,2,692,1384,East,2023-08
O10023,C0393,26-07-2023,Mouse,Accessories,2,920,1840,East,2023-07
O10024,C0461,28-06-2023,Phone,Electronics,2,941,1882,East,2023-06
O10025,C0096,10-08-2023,Printer,Office,3,613,1839,North,2023-08
O10026,C0171,29-01-2023,Mouse,Accessories,3,798,2394,West,2023-01
O10027,C0578,19-06-2023,Monitor,Electronics,3,1159,3477,North,2023-06
O10028,C0028,18-04-2023,Keyboard,Accessories,1,1062,1062,West,2023-04
O10029,C0225,10-10-2023,Tablet,Electronics,2,239,478,South,2023-10
O10030,C0456,17-05-2023,Laptop,Electronics,1,759,759,South,2023-05
O10031,C0374,09-06-2023,Monitor,Electronics,1,733,733,West,2023-06
O10032,C0497,21-02-2023,Printer,Office,1,1186,1186,West,2023-02
O10033,C0081,06-07-2023,Keyboard,Accessories,3,1186,3558,North,2023-07
O10034,C0566,09-12-2023,Phone,Electronics,2,269,538,North,2023-12
O10035,C0403,06-05-2023,Printer,Office,1,434,434,South,2023-05
O10036,C0439,22-07-2023,Monitor,Electronics,2,296,592,West,2023-07
O10037,C0294,07-10-2023,Headphones,Electronics,1,816,816,North,2023-10
O10038,C0511,28-08-2023,Tablet,Electronics,2,247,494,West,2023-08
O10039,C0187,22-11-2023,Laptop,Electronics,1,1197,1197,West,2023-11
O10040,C0403,12-12-2023,Monitor,Electronics,3,709,2127,East,2023-12
O10041,C0489,08-05-2023,Mouse,Accessories,3,913,2739,East,2023-05
O10042,C0151,25-10-2023,Phone,Electronics,1,522,522,East,2023-10
O10043,C0572,02-01-2023,Mouse,Accessories,2,673,1346,North,2023-01
O10044,C0037,09-06-2023,Printer,Office,2,502,1004,East,2023-06
O10045,C0208,11-05-2023,Mouse,Accessories,1,1172,1172,West,2023-05
O10046,C0587,23-04-2023,Printer,Office,2,1193,2386,West,2023-04
O10047,C0254,15-08-2023,Tablet,Electronics,2,153,306,West,2023-08
O10048,C0153,15-12-2023,Keyboard,Accessories,1,148,148,South,2023-12
O10049,C0163,27-07-2023,Printer,Office,2,387,774,North,2023-07
O10050,C0398,04-10-2023,Laptop,Electronics,1,850,850,West,2023-10
O10051,C0033,25-06-2023,Tablet,Electronics,3,450,1350,West,2023-06
O10052,C0375,22-01-2023,Headphones,Electronics,3,519,1557,South,2023-01
O10053,C0365,20-02-2023,Keyboard,Accessories,2,279,558,South,2023-02
O10054,C0226,04-10-2023,Printer,Office,3,76,228,South,2023-10
O10055,C0481,13-11-2023,Laptop,Electronics,3,1009,3027,West,2023-11
O10056,C0512,17-01-2023,Headphones,Electronics,3,1122,3366,West,2023-01
O10057,C0046,06-01-2023,Tablet,Electronics,2,526,1052,East,2023-01
O10058,C0280,15-12-2023,Tablet,Electronics,1,1110,1110,North,2023-12
O10059,C0099,07-07-2023,Keyboard,Accessories,1,656,656,North,2023-07
O10060,C0161,13-09-2023,Tablet,Electronics,3,302,906,East,2023-09
O10061,C0570,19-11-2023,Printer,Office,2,615,1230,West,2023-11
O10062,C0155,30-09-2023,Keyboard,Accessories,2,903,1806,West,2023-09
O10063,C0176,08-02-2023,Laptop,Electronics,1,295,295,North,2023-02
O10064,C0408,13-01-2023,Phone,Electronics,3,587,1761,West,2023-01
O10065,C0020,17-11-2023,Phone,Electronics,3,85,255,West,2023-11
O10066,C0471,23-05-2023,Printer,Office,2,449,898,West,2023-05
O10067,C0051,02-06-2023,Phone,Electronics,2,776,1552,South,2023-06
O10068,C0150,10-11-2023,Mouse,Accessories,2,1198,2396,South,2023-11
O10069,C0054,11-04-2023,Keyboard,Accessories,1,731,731,North,2023-04
O10070,C0005,13-04-2023,Printer,Office,1,1053,1053,West,2023-04
O10071,C0350,16-02-2023,Keyboard,Accessories,1,1041,1041,East,2023-02
O10072,C0106,07-06-2023,Mouse,Accessories,1,419,419,East,2023-06
O10073,C0346,17-08-2023,Laptop,Electronics,3,1131,3393,South,2023-08
O10074,C0127,09-05-2023,Monitor,Electronics,2,840,1680,South,2023-05
O10075,C0096,06-05-2023,Phone,Electronics,1,851,851,South,2023-05
O10076,C0237,29-09-2023,Printer,Office,1,537,537,North,2023-09
O10077,C0247,17-03-2023,Mouse,Accessories,3,630,1890,South,2023-03
O10078,C0086,04-07-2023,Printer,Office,3,1046,3138,North,2023-07
O10079,C0094,26-08-2023,Keyboard,Accessories,1,1120,1120,South,2023-08
O10080,C0218,07-12-2023,Tablet,Electronics,1,961,961,East,2023-12
O10081,C0023,07-09-2023,Tablet,Electronics,1,406,406,South,2023-09
O10082,C0180,11-08-2023,Keyboard,Accessories,1,1173,1173,South,2023-08
O10083,C0325,04-01-2023,Phone,Electronics,3,491,1473,West,2023-01
O10084,C0497,09-06-2023,Printer,Office,3,307,921,East,2023-06
O10085,C0545,28-06-2023,Tablet,Electronics,2,429,858,East,2023-06
O10086,C0556,12-10-2023,Monitor,Electronics,3,1116,3348,North,2023-10
O10087,C0035,03-08-2023,Tablet,Electronics,3,548,1644,North,2023-08
O10088,C0418,25-04-2023,Phone,Electronics,1,1019,1019,North,2023-04
O10089,C0413,05-08-2023,Mouse,Accessories,2,1148,2296,North,2023-08
O10090,C0394,23-12-2023,Monitor,Electronics,1,725,725,North,2023-12
O10091,C0548,06-04-2023,Printer,Office,3,1172,3516,West,2023-04
O10092,C0369,02-07-2023,Mouse,Accessories,2,86,172,North,2023-07
O10093,C0273,03-03-2023,Mouse,Accessories,1,916,916,West,2023-03
O10094,C0019,26-06-2023,Printer,Office,1,446,446,West,2023-06
O10095,C0265,11-10-2023,Tablet,Electronics,1,125,125,South,2023-10
O10096,C0069,09-04-2023,Mouse,Accessories,3,193,579,West,2023-04
O10097,C0039,19-04-2023,Laptop,Electronics,3,618,1854,North,2023-04
O10098,C0398,11-08-2023,Phone,Electronics,2,984,1968,South,2023-08
O10099,C0235,27-11-2023,Monitor,Electronics,3,782,2346,South,2023-11
O10100,C0492,10-09-2023,Mouse,Accessories,1,1147,1147,South,2023-09
O10101,C0393,10-10-2023,Mouse,Accessories,2,219,438,South,2023-10
O10102,C0165,05-12-2023,Phone,Electronics,1,78,78,West,2023-12
O10103,C0511,23-11-2023,Printer,Office,1,549,549,North,2023-11
O10104,C0182,16-06-2023,Monitor,Electronics,2,494,988,East,2023-06
O10105,C0126,22-06-2023,Phone,Electronics,2,88,176,North,2023-06
O10106,C0476,13-11-2023,Phone,Electronics,2,1131,2262,East,2023-11
O10107,C0387,14-12-2023,Laptop,Electronics,3,1074,3222,South,2023-12
O10108,C0117,14-05-2023,Laptop,Electronics,3,873,2619,South,2023-05
O10109,C0173,13-11-2023,Tablet,Electronics,1,721,721,East,2023-11
O10110,C0229,13-06-2023,Monitor,Electronics,2,252,504,East,2023-06
O10111,C0233,01-11-2023,Headphones,Electronics,1,96,96,South,2023-11
O10112,C0471,12-01-2023,Mouse,Accessories,3,705,2115,South,2023-01
O10113,C0408,05-06-2023,Printer,Office,2,1021,2042,North,2023-06
O10114,C0090,16-05-2023,Printer,Office,2,725,1450,South,2023-05
O10115,C0041,16-08-2023,Tablet,Electronics,2,589,1178,West,2023-08
O10116,C0145,20-07-2023,Headphones,Electronics,2,1008,2016,North,2023-07
O10117,C0558,04-02-2023,Monitor,Electronics,1,781,781,North,2023-02
O10118,C0256,16-07-2023,Keyboard,Accessories,2,932,1864,East,2023-07
O10119,C0242,08-09-2023,Laptop,Electronics,2,59,118,North,2023-09
O10120,C0374,06-03-2023,Monitor,Electronics,3,1065,3195,South,2023-03
O10121,C0282,04-03-2023,Printer,Office,3,226,678,North,2023-03
O10122,C0461,08-04-2023,Keyboard,Accessories,3,844,2532,North,2023-04
O10123,C0405,07-11-2023,Headphones,Electronics,3,434,1302,South,2023-11
O10124,C0437,23-01-2023,Tablet,Electronics,1,758,758,North,2023-01
O10125,C0458,24-03-2023,Monitor,Electronics,1,763,763,North,2023-03
O10126,C0001,20-02-2023,Monitor,Electronics,2,506,1012,North,2023-02
O10127,C0488,15-10-2023,Monitor,Electronics,2,498,996,South,2023-10
O10128,C0551,03-06-2023,Tablet,Electronics,3,1145,3435,South,2023-06
O10129,C0306,25-09-2023,Phone,Electronics,2,167,334,North,2023-09
O10130,C0401,22-04-2023,Keyboard,Accessories,1,1039,1039,East,2023-04
O10131,C0578,16-03-2023,Mouse,Accessories,3,902,2706,East,2023-03
O10132,C0306,08-04-2023,Mouse,Accessories,2,813,1626,South,2023-04
O10133,C0435,04-11-2023,Keyboard,Accessories,3,908,2724,North,2023-11
O10134,C0335,30-01-2023,Keyboard,Accessories,1,1033,1033,East,2023-01
O10135,C0133,12-10-2023,Phone,Electronics,3,130,390,West,2023-10
O10136,C0508,06-12-2023,Phone,Electronics,1,834,834,West,2023-12
O10137,C0450,24-07-2023,Monitor,Electronics,2,102,204,South,2023-07
O10138,C0183,02-12-2023,Headphones,Electronics,3,160,480,East,2023-12
O10139,C0360,03-07-2023,Headphones,Electronics,2,949,1898,North,2023-07
O10140,C0093,09-06-2023,Headphones,Electronics,3,716,2148,South,2023-06
O10141,C0403,04-10-2023,Monitor,Electronics,2,1124,2248,North,2023-10
O10142,C0405,22-11-2023,Phone,Electronics,2,583,1166,North,2023-11
O10143,C0346,15-02-2023,Monitor,Electronics,1,573,573,South,2023-02
O10144,C0249,16-02-2023,Laptop,Electronics,2,1146,2292,North,2023-02
O10145,C0350,17-04-2023,Keyboard,Accessories,3,1129,3387,East,2023-04
O10146,C0026,19-10-2023,Printer,Office,1,386,386,North,2023-10
O10147,C0303,07-05-2023,Printer,Office,1,768,768,West,2023-05
